bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.85514360283433 0.1329056169770476 1.1927653987007445 0.06273234221056545 58606.15104061584 0.954186526576807 None None 0.05972992359262559 0.08421513792282967 0.441 0.437 0.972 0.973
c-o  True F19 6 36.910547702347024 0.1338584250823969 1.1927100722333632 0.06273425135863957 58606.15401849004 0.9539207526158067 None None 0.052101207507980196 0.07988816036456989 0.442 0.437 0.972 0.973
J-asg-c-o 1D3 True F19 6 36.58086613012517 0.08966751498029336 0.9494442127962179 0.046981146995377907 58607.066703572804 0.5837307880646031 None None 0.05018042527081154 0.06868158533246477 0.958 0.944 0.523 0.542
J-c-o 1D3 True O94 0 36.617774509156426 0.1009225545947308 1.0462157967721737 0.053200796369201456 58606.97626231622 0.5381385098034979 None None 0.15668089390384507 0.06533948501453214 0.637 0.619 0.882 0.895
J-c-o 1D3 True O94 1 36.63425080384449 0.09943326111248235 1.0393604358038715 0.05247369862385654 58606.98935890201 0.5394594475879371 None None 0.13826237781590348 0.06475751982510476 0.645 0.629 0.874 0.888
J-c-o 1D3 True O94 2 36.66212479080851 0.09642117147944773 1.0400345435550036 0.04979812181956724 58606.973522289256 0.5297883377299828 None None 0.1383065670006329 0.06528910152034598 0.612 0.596 0.901 0.912
J-c-o 1D3 True O94 3 36.61259326296425 0.10008337453909366 1.036515843989474 0.05234915392492245 58607.00397359296 0.54037806018843 None None 0.1367207073593657 0.06499585861537362 0.655 0.638 0.865 0.88
J-c-o 1D3 True O94 4 36.61950768365368 0.09943382320721471 1.0389352771028972 0.05205767671711788 58606.99001657041 0.5383107561746683 None None 0.13379422543703923 0.06486522228119776 0.643 0.626 0.877 0.89
J-c-o 1D3 True O94 5 36.653031424624125 0.0958954417775559 1.0405812787097226 0.04967894597259305 58606.961596183944 0.5306219292385261 None None 0.1276523933165301 0.06478841287296122 0.609 0.593 0.903 0.914
J-c-o 1D3 True F19 6 36.61809663963469 0.09138500074712137 1.019208915683534 0.04653833642089867 58607.0470247152 0.5326779611540086 None None 0.11612346339986389 0.06761243259966933 0.662 0.645 0.86 0.874
J-c-o 1D3 True F99 6 36.61749957582356 0.09708252672504042 0.9847206010648856 0.048202470951173255 58607.342464760004 0.5694861128394865 None None 0.0944502542184388 0.07303619288148709 0.789 0.766 0.723 0.75
J-c-o 1D3 True O94 6 36.60722000918878 0.09486832543395463 1.0130869039446018 0.049447475580136326 58607.08501015632 0.5712104092912644 None None 0.11841412023975342 0.07054592650225804 0.676 0.658 0.847 0.863
J-c-o 1D3 True O94 7 36.589482880803594 0.09288884348624486 1.0022325817317368 0.04686674031038326 58607.161857809144 0.53725851793361 None None 0.10886942460539659 0.06858750035120076 0.72 0.701 0.802 0.821
J-c-o 1D3 True O94 8 36.61256818343911 0.09231237991299213 0.9872314275770948 0.04618275402666265 58607.28557847198 0.538189680958647 None None 0.11419094032827205 0.07185540986250008 0.784 0.763 0.729 0.754
J-c-o 1D3 True O94 9 36.5914225596816 0.092919917104646 0.9983367087314304 0.04672102613432242 58607.18786378956 0.5381607596498824 None None 0.111314039090774 0.06911759421581393 0.735 0.716 0.786 0.806
J-c-o 1D3 True O94 10 36.641454386644924 0.10197303550703239 None None 58606.890985514125 0.5827453642319648 0.949149357495825 0.08248722451570994 0.16212024222820434 0.06614466662829385 0.781 0.762 0.733 0.755
J-c-o 1D3 True O94 11 36.648323600216436 0.1009066212936767 None None 58606.883720556536 0.5806144017257946 0.9492572936328991 0.08200636571170833 0.15767071681769412 0.06580560967436436 0.769 0.751 0.747 0.767
J-c-o 1D3 True O94 12 36.65151509992004 0.09882550804583712 None None 58606.88966050377 0.5767844222225282 0.9559693698442845 0.08047964706695618 0.1601061400637876 0.06569094289843384 0.77 0.752 0.746 0.766
J-c-o 1D3 True O94 13 36.61701272594489 0.1021388116004378 None None 58606.87487282504 0.5787565305938585 0.9511755480452081 0.08132678328998388 0.14668407540616862 0.06519823164040346 0.762 0.745 0.755 0.775
J-c-o 1D3 True O94 14 36.630530992099956 0.10159738196150053 None None 58606.884397856804 0.577458342199698 0.9503813708064153 0.081272930986118 0.14932033137285303 0.06576444856534432 0.759 0.741 0.759 0.779
J-c-o 1D3 True O94 15 36.62903767930864 0.09798284334605063 None None 58606.871564929344 0.5725684441878514 0.9585412574918735 0.07885824884388845 0.14427888535090094 0.0648912333991942 0.751 0.734 0.767 0.787
J-c-o 2D True F19 6 36.63510533918873 0.09779164931784796 1.025041454288378 0.046678141252448103 58607.1258048478 0.5586529271271585 None None 0.11014825408831347 0.0693524698465673 0.579 0.573 0.924 0.927
