# Note that the FOCAS reductions are ongoing.
# The values presented here were manually derived.
# We are currently working on a pipeline to automate reductions.
#
# Flag values correspond to:
# s=strong/reliable
# w=weak/less reliable
# n=no conspicuous features
#
SN instrument z_hel plus minus r flag
20vnq SNIFS 0.07943621982136113 2.22398396375334e-06 9.040432550705413e-06 3.0350866945005373 s
20tel SNIFS 0.062183522528172025 2.1211835728729422e-06 5.5866101197621365e-06 1.5593466347353595 n
20kku SNIFS 0.08367103707434971 2.7887198276455027e-06 1.0181913832618683e-06 3.1944327538676136 s
20nin SNIFS 0.040479239777237774 2.6315891846380446e-05 2.5048250375532544e-05 1.7900591699455057 w
20vav SNIFS 0.035910319040509835 3.056377438297869e-05 2.0295508369586046e-05 1.6965569507657159 n
20uye SNIFS 0.05842350001828025 3.0859157384016678e-06 2.541668098335337e-06 5.025365687243767 s
21gba SNIFS 0.10371728625978194 3.88149782148961e-06 3.5465803274042917e-06 3.044258888393106 s
21gad SNIFS 0.06352751049116179 9.426557887243225e-06 7.059022957528471e-06 1.7632379350742806 w
20lip SNIFS 0.014147335436030264 2.6384235835041556e-05 1.5011485446509917e-05 1.5371325816633281 n
20vas SNIFS 0.07098550855757825 1.5494449530056853e-05 1.6414497292227548e-05 1.7120749232852248 w
20qqn SNIFS 0.02638079635172605 1.304481682430983e-05 0.00011552492358765307 3.6390267922480346 n
20uwr SNIFS 0.07944792345893416 5.5877603357817884e-06 1.091874615788413e-05 3.4193848086482923 s
20qqn SNIFS 0.026199815718975856 2.5312666761569125e-06 9.224083738303135e-06 2.6946419866546454 s
20uvg SNIFS 0.054759863773840685 5.5585016890541405e-06 5.595452076977148e-06 7.47173645039341 s
19huq SNIFS 0.016203121055643154 5.408928130116314e-06 5.694147056013732e-06 1.7287324655642413 w
19eiy SNIFS 0.04090157512595445 2.6916288232980978e-08 8.89375024363398e-06 3.6105182406627647 s
19bsu SNIFS 0.06306304635177042 1.1748934560712465e-05 7.404596924498463e-06 3.0577176042780936 s
19bsu SNIFS 0.06307382842656423 2.8163016540572183e-05 6.13761837133242e-05 3.1775270753459166 s
20tul SNIFS 0.06638652098037 7.601723488945278e-06 1.6032958085471227e-06 4.7430888558556825 s
19nft SNIFS 0.05542597032145791 2.047328021435868e-05 0.00015904375109673102 1.9267062412094764 n
20xpk SNIFS 0.04119372689757057 4.267710992322815e-06 1.0287631256045149e-06 5.179395027016383 s
21zfj SNIFS 0.0919265323584856 6.846837133644978e-07 9.693392343509966e-06 4.39177156929176 s
19jzt SNIFS 0.08190007754026657 3.948145469293007e-06 5.134903378750666e-06 3.3588735932959186 s
20yef SNIFS 0.05377536959048867 4.866498692732146e-06 1.9496188888232235e-06 5.502657715954762 s
20tce SNIFS 0.06136774025819395 3.2727644433266923e-06 4.535642858821687e-06 3.330381459295307 s
20xqr SNIFS 0.06047194856880595 7.118604511135995e-07 4.6870651954286635e-06 3.8303428779877198 s
19jzt SNIFS 0.0821083825797801 8.269969922883313e-06 5.422060429874365e-06 3.034693573667711 w
20skp SNIFS 0.05858278472058127 9.65123922493788e-06 1.3395940217098001e-06 4.272269694097709 s
20aar SNIFS 0.027723673037524516 3.98615679468757e-05 0.00010112077497267946 1.9939253777480617 n
19nft SNIFS 0.03083768212517651 6.605327987442566e-05 6.541791085699217e-05 1.2471528117691775 n
20yxd SNIFS 0.04602159395961616 4.532705090432021e-08 7.878978991154861e-06 3.703811787047407 s
20yvu SNIFS 0.01686029352139923 4.980192970169273e-07 3.6265861421136414e-06 4.973150781702327 s
20ysq SNIFS 0.08339320169075666 1.0611136752047834e-05 4.872346420048412e-06 1.7999794744163469 w
