bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 35.93311190093197 0.3388913634597305 0.5140051280654993 0.12700053138226183 58870.88699692373 1.1873948079555412 None None 0.023083189411557976 0.12422726434850943 3.702 3.497 0.0 0.0
c-o  True F19 6 36.10463675755177 0.26097594357622894 0.5140182116516687 0.12702536250472612 58870.887199279125 1.1875904149467156 None None 0.1289399618660014 0.12499195524922929 3.703 3.498 0.0 0.0
c-o-ztfg  True F19 6 36.296741720574914 0.14033025677776753 0.6919215284953228 0.06856697726072368 58873.07115049674 0.5264590884749926 None None 0.09045749517748697 0.0872044416204917 3.506 3.407 0.0 0.0
c-o-ztfg-ztfr  True O94 0 36.27456085577984 0.12389111743409804 0.7092304509807044 0.046995885960193544 58873.16682299556 0.45586135156351465 None None 0.061929791991062334 0.0815026782032872 2.327 2.268 0.0 0.0
c-o-ztfg-ztfr  True F19 6 36.30763229752956 0.11862208283988128 0.7071397587951117 0.04790284219439838 58873.16289725344 0.4471513832226573 None None 0.09272383873306067 0.07601645989241285 2.385 2.322 0.0 0.0
c-o-ztfr  True F19 6 36.195032238133486 0.16107606192067916 0.6670014651166163 0.0661353189382847 58872.61157052455 0.6384899400465153 None None 0.17223024532454723 0.09640359998831395 2.705 2.609 0.0 0.0
c-ztfg-ztfr  True F19 6 36.371944871230305 0.09887983279483069 0.7529060942603631 0.03533156491839658 58873.39028266883 0.37196656116461185 None None 0.08288514015630753 0.06663479688479071 0.697 0.684 0.818 0.83
J-asg-c-o-ztfg-ztfr 1D3 True F19 6 36.508621192043954 0.10297091429082773 0.7630741222223553 0.05771377451624492 58873.63456848789 0.532533406141833 None None 0.0010346205281989423 0.07486366919972182 5.825 5.459 0.0 0.0
J-c-o 1D3 True O94 0 36.34655943519803 0.19429355347619523 0.690855142958724 0.12885872585899769 58872.05626444362 1.422864512154589 None None 0.04144221044621505 0.1572428651583474 11.432 7.728 0.0 0.0
J-c-o 1D3 True F19 6 36.278836010100605 0.14440191775849046 0.5858878082612621 0.10279255435506857 58871.50507457044 1.2678589706559107 None None 0.06619812790781812 0.09916859692820901 9.505 6.338 0.0 0.0
J-c-o-ztfg 1D3 True F19 6 36.430925945567125 0.11285955919212416 0.6963888244473084 0.07495559265433802 58873.1445094841 0.5547615182918825 None None 0.016837807162859854 0.07942270351174753 6.366 5.06 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 0 36.46349791992297 0.10169728632397246 0.7437928861261695 0.04668004480911 58873.20629691688 0.4657431828556126 None None 0.0068157690346248795 0.07953770603287237 4.474 3.571 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 1 36.478067130475175 0.1038009949169644 0.7399495306340664 0.047148684790533066 58873.210269557734 0.46580960511893554 None None -0.0009253408945366222 0.07813598767823393 4.459 3.567 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 2 36.43949246536778 0.10425503848134342 0.7275375593057536 0.04821921978124201 58873.195372617054 0.4637963402669099 None None -0.004674351030894618 0.07917038216019613 4.406 3.501 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 3 36.45638942718264 0.10314109311980388 0.7386303746280287 0.047127714324668744 58873.205315782514 0.46531637165515277 None None -0.0052954744461080495 0.07784044750179286 4.453 3.551 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 4 36.46053549009285 0.10347115848110144 0.7387470105719964 0.04731347019919085 58873.20379849675 0.46584464501802425 None None -0.006401905070459072 0.07788061992742006 4.492 3.574 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 5 36.42983437060541 0.10616756188999475 0.7229796397401341 0.04801423122396863 58873.194954081104 0.462948290280841 None None -0.015456547282750721 0.07745433540347432 4.325 3.46 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 6 36.43018898070758 0.1031575476035221 0.7194257678107122 0.05113834353851934 58873.17369344548 0.467540551388475 None None 0.027106358136624178 0.07135453338355816 4.537 3.55 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F99 6 36.415549746397154 0.1075993140719151 0.7179816697782576 0.052643157426835605 58873.140129023515 0.4785596644936007 None None 0.04226980173947509 0.07442193612369792 4.511 3.48 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 6 36.42393612870022 0.10687698484688654 0.7192990924062191 0.053126453474265235 58873.16334575568 0.48094925931037646 None None 0.03181577067599618 0.0737046704582182 4.551 3.538 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 7 36.473168749403456 0.10045066685102644 0.7407681053816613 0.048742112372007367 58873.20078703789 0.4672348502698913 None None 0.012813246307859846 0.07295737122667732 4.525 3.579 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 8 36.4644478821069 0.0959877600164236 0.7350002006561416 0.04867703827505991 58873.19002522883 0.46465605738175897 None None 0.03509962079408097 0.07511051774898152 4.409 3.481 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 9 36.473749468314345 0.0994818940282875 0.7421719496492933 0.04842985728891721 58873.198745965805 0.46716614833025777 None None 0.012885476086852322 0.07362160365522585 4.531 3.581 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 10 36.6758701837759 0.1035209769719655 None None 58873.363906071216 0.5555434383857834 1.1148639278729162 0.11216532462458514 0.1307372248419429 0.07440824843443723 4.666 3.895 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 11 36.69032009487321 0.10384044983470202 None None 58873.371833482684 0.5615448667348725 1.1135494095610197 0.11329282149558162 0.12554085429816556 0.07438560366589574 4.79 3.987 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 12 36.7131099318881 0.10319966149864104 None None 58873.35528948271 0.5561889764384741 1.114545205380127 0.11258190192061297 0.12606553004135013 0.07430353514400351 4.734 3.942 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 13 36.64499878176384 0.1032969320623751 None None 58873.35730768056 0.5487617273505813 1.1149908247582214 0.11045142900394116 0.10432817700566271 0.07342457016948818 4.644 3.87 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 14 36.653080285228235 0.10267442962243802 None None 58873.35190273741 0.5524501681039908 1.1146453116644557 0.11158596159497648 0.10978583659242011 0.0748069446602481 4.695 3.906 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 15 36.69948767380131 0.10324560468212131 None None 58873.3540089389 0.5507373115570798 1.1149499800543066 0.11156843062382416 0.09920017875669017 0.07329484658474941 4.74 3.944 0.0 0.0
J-c-o-ztfr 1D3 True F19 6 36.392443617205934 0.1310343204585403 0.7022143420031117 0.071201041629177 58872.764369277276 0.6864799243831333 None None 0.06013007519254806 0.08322628810004692 6.286 4.561 0.0 0.0
J-c-ztfg-ztfr 1D3 True F19 6 36.490442834780424 0.0951059678545468 0.7640687310020317 0.045013409769027374 58873.37567991162 0.43754053736107396 None None 0.025333549092198433 0.06825370659770119 3.348 2.579 0.0 0.0
J-o-ztfg-ztfr 1D3 True F19 6 36.486607711037124 0.10654721840484511 0.7286117665059376 0.05530580994737719 58873.30986075108 0.4854577545958795 None None -0.022039801397339423 0.07510854215967551 4.597 3.802 0.0 0.0
J-o-ztfr 1D3 True O94 0 36.54046349829365 0.14900051665107594 0.6462781141145971 0.09374711027507387 58872.632397685265 0.8934044698796818 None None -0.2559858078367543 0.22878630107205233 5.774 4.651 0.0 0.0
J-ztfg-ztfr 1D3 True O94 0 36.553934336085746 0.10344487429052766 0.791919935342909 0.05750608618086151 58873.664271566086 0.5482862068322151 None None -0.0019110068148532249 0.09391874708281049 4.104 3.245 0.0 0.0
J-ztfg-ztfr 1D3 True F19 6 36.558329315747876 0.09965889808138019 0.7859686510570055 0.05571042406616393 58873.686401191335 0.5267043739048624 None None -0.01936706295753325 0.07541165681215257 3.842 3.044 0.0 0.0
o-ztfg-ztfr  True F19 6 36.42443589907443 0.12024087263203175 0.7255083207465512 0.05136515707805579 58873.296844677134 0.463830646705593 None None 0.016701622905010715 0.08081426281318936 2.588 2.531 0.0 0.0
ztfg-ztfr  True O94 0 36.41298740660802 0.10294880467178533 0.7826225036802238 0.03941217141854844 58873.68842914172 0.40204333583441404 None None 0.057621522728315167 0.073249171242992 0.733 0.723 0.732 0.742
ztfg-ztfr  True F19 6 36.437662598757704 0.0993506338266283 0.7826167495640969 0.038820184579126615 58873.688615371866 0.397958135276669 None None 0.04657210729494841 0.06895201855711679 0.734 0.723 0.731 0.742
