bps_used variant success reddening_law gmax e_gmax Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax Bmax e_Bmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None None None 0.5140184380987166 0.12702555876385863 17.580080853556222 0.06269744071032471 17.578365030123333 0.06422511493766446 58870.887201437145 1.1875911539182216 None None 3.703 3.498 0.0 0.0
c-o  True O94 None None None None 0.5139872343149823 0.12704046339368744 17.580229329570486 0.06269151553585661 17.57876209335595 0.06422169983104607 58870.88685025631 1.187623096890498 None None 3.702 3.497 0.0 0.0
c-o-ztfg  True F19 None None None None 0.6897438726175088 0.07279001266121045 17.63685020936818 0.053368930899098645 17.76393501967938 0.05694264315142285 58873.139403944944 0.5373513382497762 17.44543779480051 0.06730642488712726 4.432 3.953 0.0 0.0
c-o-ztfg-ztfr  True F19 None None None None 0.715604541876966 0.05176072066034111 17.591953427137003 0.04020554986705924 17.764580744552134 0.05137913776774435 58873.178815597355 0.46389595740309153 17.45546226908997 0.05704765274782152 3.54 2.976 0.0 0.0
c-o-ztfg-ztfr  True O94 None None None None 0.7155995701584191 0.054236943255932764 17.5921095119104 0.04223255779119398 17.764884183088718 0.05455382867616956 58873.17860410164 0.47947466466145566 17.455429705559556 0.06093889007797893 2.761 2.69 0.0 0.0
c-o-ztfr  True F19 None None None None 0.6627472305134656 0.06637991606990754 17.554317089909404 0.03990997076660463 17.615964018856722 0.04866837291692403 58872.58526709651 0.6409581471417455 None None 2.654 2.299 0.0 0.001
c-ztfg-ztfr  True F19 None None None None 0.7546322864072829 0.04061474430270919 17.531345263156343 0.034845247887077435 17.772639941148963 0.03148622417825841 58873.640077991135 0.39830107495483763 17.456300831245876 0.034861797165277784 3.079 2.744 0.0 0.0
J-asg-c-o-ztfg-ztfr 1D3 True F19 17.544805442387762 0.08431823336507989 18.11758388121879 0.08636355251367013 0.7511133371791311 0.06345906768632202 17.596174580734708 0.05133434587242675 17.736618668130653 0.06845565300028213 58873.841798867026 0.5361240307692293 17.465538947472414 0.0800721006127814 5.95 5.725 0.0 0.0
J-c-o 1D3 True O94 None None 18.020097255730764 0.20168799796487974 0.5197937303295518 0.10069429260620867 17.577307627918756 0.07251901267089841 17.57082823192295 0.07507889626418966 58871.1270601565 1.6943920107032115 None None 7.619 6.132 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F19 None None 18.08799504700185 0.07709868161632864 0.711959867021777 0.055200925232853464 17.576012055521577 0.043438037953050734 17.79101607285649 0.05659119561942097 58873.247083251954 0.4821792460039747 17.43567319944274 0.0632726496812103 6.16 3.328 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True F99 None None 18.09122630834588 0.08061399373580601 0.7119015837442126 0.05782886771506315 17.5816499608194 0.04561532508811472 17.79365241673988 0.05996082587975673 58873.24683069252 0.49866427052770046 17.43724653776353 0.06735642506590672 4.198 3.684 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 None None 18.0882743375554 0.08059701335922537 0.7119563661440299 0.057813962842504334 17.57617230566267 0.045605290153523374 17.791313522718028 0.05994595327926711 58873.24687139901 0.49857547939593305 17.435639124085277 0.06733897775496789 4.196 3.682 0.0 0.0
J-ztfg-ztfr 1D3 True O94 None None 18.062694815836785 0.07305725239200836 0.7760927656967409 0.05746910428042744 17.566472674947434 0.054872153012030196 None None 58873.73558084415 0.5355944199081206 17.544273812556597 0.061094496363505876 3.556 2.98 0.0 0.0
o-ztfg-ztfr  True F19 None None None None 0.7255184740214391 0.05129753141251667 17.573004879192958 0.03977071849489128 None None 58873.29463466004 0.46388221336248603 17.523042117538765 0.05590084271072484 2.524 2.146 0.0 0.001
ztfg-ztfr  True F19 None None None None 0.7826167475761332 0.03882018592393977 17.566168674368356 0.033001831805292994 None None 58873.688615334766 0.39795813412171244 17.546615747618983 0.031746795512899946 1.54 1.385 0.095 0.157
ztfg-ztfr  True O94 None None None None 0.7826231905862173 0.03941240026736953 17.566537035621472 0.03369410604418218 None None 58873.68842885317 0.40204149348763407 17.546610084585826 0.032769342987816856 0.733 0.723 0.732 0.742
